Prob Thresh: 0.01 | Time:    25 | Score: 288856.0 | Mv/Sec: 443.72 | Pt/Sec: 11554.24 | Max Tile: 14
Prob Thresh: 0.01 | Time:    83 | Score: 773892.0 | Mv/Sec: 323.87 | Pt/Sec: 9324.00 | Max Tile: 15
Prob Thresh: 0.01 | Time:    39 | Score: 354168.0 | Mv/Sec: 340.49 | Pt/Sec: 9081.23 | Max Tile: 14
Prob Thresh: 0.01 | Time:    21 | Score: 177120.0 | Mv/Sec: 353.10 | Pt/Sec: 8434.29 | Max Tile: 13
Prob Thresh: 0.01 | Time:    31 | Score: 285544.0 | Mv/Sec: 353.45 | Pt/Sec: 9211.10 | Max Tile: 14
Prob Thresh: 0.01 | Time:    20 | Score: 177192.0 | Mv/Sec: 371.40 | Pt/Sec: 8859.60 | Max Tile: 13
Prob Thresh: 0.01 | Time:    21 | Score: 177300.0 | Mv/Sec: 355.00 | Pt/Sec: 8442.86 | Max Tile: 13
Prob Thresh: 0.01 | Time:    21 | Score: 177220.0 | Mv/Sec: 353.48 | Pt/Sec: 8439.05 | Max Tile: 13
Prob Thresh: 0.01 | Time:    25 | Score: 241428.0 | Mv/Sec: 365.00 | Pt/Sec: 9657.12 | Max Tile: 14
Prob Thresh: 0.01 | Time:    22 | Score: 217332.0 | Mv/Sec: 360.36 | Pt/Sec: 9878.73 | Max Tile: 14
Prob Thresh: 0.01 | Time:    20 | Score: 168108.0 | Mv/Sec: 348.30 | Pt/Sec: 8405.40 | Max Tile: 13
Prob Thresh: 0.01 | Time:    21 | Score: 177632.0 | Mv/Sec: 357.14 | Pt/Sec: 8458.67 | Max Tile: 13
Prob Thresh: 0.01 | Time:    43 | Score: 373364.0 | Mv/Sec: 328.81 | Pt/Sec: 8682.88 | Max Tile: 14
Prob Thresh: 0.01 | Time:    20 | Score: 176924.0 | Mv/Sec: 372.05 | Pt/Sec: 8846.20 | Max Tile: 13
Prob Thresh: 0.01 | Time:    15 | Score: 133008.0 | Mv/Sec: 372.93 | Pt/Sec: 8867.20 | Max Tile: 13
